text,type,label
"URGENT: Your SBI account has been compromised. Your account will be blocked in 2 hours. Share your account number and OTP immediately to verify your identity.",bank_phishing,scam
"Congratulations! You have won 10 lakh rupees in KBC lucky draw. To claim your prize, send your bank details and pay processing fee of Rs 5000.",lottery_scam,scam
"Your Aadhaar KYC is not updated. Update immediately within 24 hours or your bank account will be blocked. Click: bit.ly/kyc-update",kyc_scam,scam
"This is from Income Tax Department. You have pending tax refund of Rs 50000. Provide your bank account details to process refund.",tax_scam,scam
"ALERT: Suspicious activity detected on your HDFC account. Verify your identity by calling +91-9876543210 immediately.",bank_phishing,scam
"You have won iPhone 15 Pro in our lucky draw! Pay courier charges Rs 2000 to receive your prize. Limited time offer!",prize_scam,scam
"Your PAN card is linked to illegal activities. To avoid legal action, pay penalty of Rs 25000 urgently. Contact: 9999888877",government_scam,scam
"Amazon Prime membership expiring today. Renew now by paying Rs 1499. Click here: amzn-renew.com",tech_support_scam,scam
"Your mobile number will be disconnected due to KYC not updated. Visit our office or share documents on WhatsApp.",telecom_scam,scam
"You are eligible for Rs 2 lakh personal loan. Just share your Aadhaar and bank details. Processing in 1 hour!",loan_scam,scam
"Your Netflix account suspended due to payment failure. Update payment info: netflix-secure.co.in",subscription_scam,scam
"URGENT: Your credit card has been used for Rs 49999 transaction. If not you, call 1800-xxx-xxxx immediately.",credit_card_scam,scam
"Electricity bill overdue. Pay Rs 5000 penalty now to avoid disconnection. Pay online: pay-electricity.com",utility_scam,scam
"Your parcel is stuck at customs. Pay Rs 3500 customs duty to release your package. Track: dhl-india.co",courier_scam,scam
"Government giving Rs 10000 COVID relief fund. Register with Aadhaar details to receive money in account.",relief_scam,scam
"Your car insurance expired. Renew immediately to avoid fine. Pay Rs 8000 now: quick-insurance.in",insurance_scam,scam
"WhatsApp verification code: 123-456. Share this code to activate your account on new device.",otp_phishing,scam
"Your UPI transaction of Rs 25000 failed. Refund will be credited. Share UPI PIN to process refund.",upi_scam,scam
"Job offer: Earn Rs 50000 per month working from home. Pay Rs 5000 registration fee to start.",job_scam,scam
"Your mutual fund matured. Claim Rs 3 lakh by sharing bank details and Aadhaar. Limited time!",investment_scam,scam
